	SporangiaReplicate3	SporangiaReplicate2	SporangiaReplicate1	ZoosporeReplicate1	ZoosporeReplicate2	ZoosporeReplicate3
MSTRG.6937.1	1.32924623118676	2.67169432249494	1.8384639189127	1.96927379746374	1.37462308561208	2.42847468869092
rna-XM_006682505.1	0	0	0	0	0	0
MSTRG.6938.1	0	0.890564774164979	0	0	0	0
rna-XM_006682667.1	0	0	0	0	1.37462308561208	0
MSTRG.6938.3	0	0	0	0	0	0
rna-XM_006682668.1	0	0	0	0	0	0
MSTRG.6939.1	6.6462311559338	16.9207307091346	11.0307835134762	13.7849165822462	9.62236159928458	8.49966141041821
rna-XM_006682506.1	0	0	0	0	0	0
rna-XM_006682499.1	0	0	0	0	1.37462308561208	0
rna-XM_006682509.1	693.866532679489	764.104576233552	842.016474862018	1687.66764442643	1123.06706094507	1138.95462899604
MSTRG.6941.1	0	0	0	0	0	0
rna-XM_006682548.1	0	0	0	0	0	0
rna-XM_006682669.1	17.2802010054279	20.4829898057945	18.384639189127	2.95391069619561	2.74924617122417	2.42847468869092
MSTRG.6943.1	0	0	0	0	0	0
MSTRG.6943.2	63.8038190969645	71.2451819331983	69.8616289186827	70.8938567086947	53.6103003388712	38.8555950190547
rna-XM_006682596.1	0	0	0	0	0	0
MSTRG.6944.1	3.98773869356028	1.78112954832996	5.51539175673811	3.93854759492748	6.87311542806041	8.49966141041821
rna-XM_006682513.1	0	0	0	0	0	0
MSTRG.6944.3	0	0	0	0	0	1.21423734434546
MSTRG.6944.4	0	0	0	0	0	0
MSTRG.6944.5	0	0	0	0	0	0
rna-XM_006682670.1	184.100603019366	230.65627650873	225.211830066806	138.833802721194	137.462308561208	111.709835679782
MSTRG.6946.1	0	0	0	0	0	0
rna-XM_006682579.1	0	0	0	0	0	0
rna-XM_006682549.1	11.9632160806808	12.4679068383097	12.8692474323889	19.6927379746374	17.8701001129571	16.9993228208364
MSTRG.6947.2	0	0	0	0	0	0
rna-XM_006682606.1	12.6278391962742	7.12451819331983	8.27308763510716	7.87709518985496	6.87311542806041	8.49966141041821
MSTRG.6949.1	3.3231155779669	2.67169432249494	7.35385567565081	1.96927379746374	2.74924617122417	4.85694937738184
rna-XM_006682597.1	0	0	0	0	0	0
MSTRG.6950.1	8.64010050271394	8.01508296748481	10.1115515540199	5.90782139239122	4.12386925683625	7.28542406607275
rna-XM_006682598.1	0	0	0	0.98463689873187	0	1.21423734434546
rna-XM_006682486.1	12.6278391962742	6.23395341915485	8.27308763510716	5.90782139239122	6.87311542806041	1.21423734434546
MSTRG.6951.2	0	0	0	0	0	0
rna-XM_006682671.1	19.274070352208	7.12451819331983	13.7884793918453	2.95391069619561	5.49849234244833	9.71389875476367
MSTRG.6952.2	0.66462311559338	1.78112954832996	1.8384639189127	0	0	0
MSTRG.6953.1	0	0.890564774164979	0	0	0	0
rna-XM_006682672.1	0	0	0	0	0	0
rna-XM_006682673.1	1.99386934678014	0	0	0	0	0
MSTRG.6954.2	0	0	0	0	0	1.21423734434546
MSTRG.6955.1	0	0	0	0	0	0
rna-XM_006682627.1	0	0	0	0	0	0
MSTRG.6955.3	0	0	0	0	0	0
MSTRG.6955.4	0	0	0	0	0	0
MSTRG.6956.1	3.98773869356028	7.12451819331983	4.59615979728176	3.93854759492748	2.74924617122417	2.42847468869092
rna-XM_006682493.1	0	0	0	0	0	0
rna-XM_006682550.1	12.6278391962742	15.1396011608046	8.27308763510716	11.8156427847824	17.8701001129571	20.6420348538728
MSTRG.6957.2	0	0	0	0	0	0
rna-XM_006682628.1	23.9264321613617	23.1546841282895	19.3038711485834	5.90782139239122	9.62236159928458	8.49966141041821
MSTRG.6958.2	0	0	0	0	0	0
MSTRG.6958.3	0	0	0	0	0	0
MSTRG.6959.1	0	0	0	0	0	0
