	MutantReplicate1	MutantReplicate2	MutantReplicate3	WildtypeReplicate1	WildtypeReplicate2	WildtypeReplicate3
gene-BTH_RS01975	147.107973090638	176.385680159377	170.940501127653	81.43454344469	69.8365997689834	98.3977810832154
gene-BTH_RS01980	178.819871481435	233.794227003703	207.443420639287	56.0523480853061	49.714189666056	65.2033489105644
gene-BTH_RS01985	313.595439642319	346.947304841793	234.152873940482	37.0157015657682	33.142793110704	37.9364939116011
gene-BTH_RS01990	290.692401915633	332.803170112032	272.436423672196	61.3403054518444	21.3060812854526	55.7192254326642
gene-BTH_RS01995	104.82544190291	98.1769351830495	94.3734016642248	19.0366465195379	8.285698277676	21.3392778252756
gene-BTH_RS02000	0	0.83200792528008	0	2.11518294661533	0	0
gene-BTH_RS02005	0	0	0	0	0	0
gene-BTH_RS02010	463.34607093219	629.829999437021	503.028037172519	56.0523480853061	39.0611490233297	67.5743797800395
gene-BTH_RS02015	428.991514342161	429.316089444521	404.203059958095	185.078507828841	197.673087481699	237.103086947507
gene-BTH_RS02020	186.747846079134	176.385680159377	161.147034917214	29.6125612526146	33.142793110704	24.8958241294882
gene-BTH_RS02025	332.09404703695	375.235574301316	315.171548954109	89.8952752311513	61.5509014913074	92.4702039095277
gene-BTH_RS02030	392.87518561931	424.324041892841	362.358249786222	77.2041775514594	61.5509014913074	69.9454106495146
gene-BTH_RS02035	382.304552822377	454.276327202924	362.358249786222	143.832440369842	124.28547416514	141.076336733767
gene-BTH_RS02040	242.243668263027	281.218678744667	230.591613500323	97.298415544305	50.8978608485811	60.4612871716143
gene-BTH_RS02045	104.82544190291	115.649101613931	113.070018975062	89.8952752311513	68.6529285864583	69.9454106495146
gene-BTH_RS02060	112.753416500609	137.281307671213	107.728128314823	92.0104581777667	46.1631761184806	73.5019569537272
gene-BTH_RS29475	53.7340500510715	49.9204755168048	54.3092217124313	65.5706713450751	28.4081083806034	58.0902563021392
MSTRG.292.1	178.819871481435	210.49800509586	167.379240687493	41.2460674589989	48.5305184835309	53.3481945631891
gene-BTH_RS02075	238.720123997383	251.266393434584	211.004681079446	124.795793850304	79.3059692291846	126.850151516916
gene-BTH_RS02080	196.437592809655	208.00198132002	206.553105529247	171.329818675841	188.203718021498	176.641799775893
gene-BTH_RS02085	229.911263333273	265.410528164346	213.675626409566	194.59683108861	188.203718021498	199.166593035906
